id,dep_delayed_15min
0,0.018641355
1,0.04056442
2,0.07235557
3,0.22648853
4,0.2960714
5,0.07256704
6,0.035543695
7,0.20113418
8,0.14173824
9,0.33327124
10,0.41634414
11,0.13630736
12,0.07436909
13,0.13907392
14,0.031070383
15,0.2569726
16,0.13522853
17,0.36892676
18,0.41678524
19,0.0062721637
20,0.093771115
21,0.07832431
22,0.23865226
23,0.11921356
24,0.1478483
25,0.29251945
26,0.0028374484
27,0.027117267
28,0.1322586
29,0.113227755
30,0.10141684
31,0.33824515
32,0.035819095
33,0.28214663
34,0.6217221
35,0.28884384
36,0.24540861
37,0.08098734
38,0.0882413
39,0.08269683
40,0.12010654
41,0.09223696
42,0.1412232
43,0.21244282
44,0.17101799
45,0.6228235
46,0.001302398
47,0.16938807
48,0.73498684
49,0.10151429
50,0.44282413
51,0.026234543
52,0.41628042
53,0.37484968
54,0.3665049
55,0.02862858
56,0.28249297
57,0.50060475
58,0.060024463
59,0.18228497
60,0.23071206
61,0.077279955
62,0.06418705
63,0.2670111
64,0.091952726
65,0.15880167
66,0.007510208
67,0.07626736
68,0.09279539
69,0.26990056
70,0.018269239
71,0.32854515
72,0.43208414
73,0.27893844
74,0.58571106
75,0.17049682
76,0.06771916
77,0.088253155
78,0.09712677
79,0.06112717
80,0.1556971
81,0.31251216
82,0.05383247
83,0.19609027
84,0.14136407
85,0.0008497904
86,0.13980451
87,0.17977798
88,0.44462886
89,0.34875613
90,0.1517463
91,0.31296173
92,0.18107606
93,0.09521458
94,0.3411476
95,0.20430863
96,0.36857352
97,0.1673348
98,0.18636452
99,0.30903688
100,0.105491
101,0.16529278
102,0.1372904
103,0.3240475
104,0.0005828625
105,0.0902942
106,0.31871033
107,0.045356028
108,0.043960344
109,0.11297039
110,0.13427961
111,0.11367323
112,0.7753809
113,0.012129823
114,0.035806846
115,0.09984756
116,0.07821406
117,0.5891431
118,0.026948918
119,0.19269742
120,0.33300412
121,0.28345865
122,0.16732213
123,0.25910455
124,0.195741
125,0.022901274
126,0.063472025
127,0.035010476
128,0.1456802
129,0.5510281
130,0.16834275
131,0.09256935
132,0.057960697
133,0.15670674
134,0.06076336
135,0.13843958
136,0.28277755
137,0.1661058
138,0.019931605
139,0.052594014
140,0.5527701
141,0.18686873
142,0.2717089
143,0.39136872
144,0.26845396
145,0.19556999
146,0.23049097
